Iteration,Fitness,Chromosomes
0,31411.49,[0.96, 0.77, 0.15, -0.27, 0.81, -0.24, -0.37, -0.77, -0.13, 0.23, 0.28, -0.39, -0.91, 0.89, 0.28, -0.95, 0.09, -0.68, -0.06, -0.98, 0.64, 0.23, 0.02, -0.91, 0.03, 0.77, -0.04, -0.61, 0.28, 0.55, 0.37, -0.15, 0.15, -0.24, 0.97, 0.54, -0.69, 0.62, 0.15, -0.04, -0.01, 0.29, -0.66, 0.42, 0.12, 0.77, 0.07, 0.62, -0.14, 0.97, 0.15, 0.04, 0.79, 0.67, -0.46, -0.19, 0.43, 0.17, -0.63, 0.7, 0.81, 0.25, 0.97, -0.86, -0.43, 0.37, 0.46, -0.64, 0.87, 0.8, -0.73, 0.48, 0.33, 0.76, 0.32, -0.15, 0.82, 0.02, -0.72, -0.84, 0.04, 0.32, -0.61, 0.62, -0.38, 0.74, 0.13, 0.01, -0.59, -0.44, 0.01, -0.46, 0.97, 0.75, -0.63, -0.22, -0.3, 0.31, 0.55, 0.6]
10,18496.06,[0.96, -0.41, -0.61, 0.69, 0.02, 0.48, 0.15, 0.31, -0.85, 0.41, 0.11, 0.17, -0.13, 0.32, -0.11, -0.22, 0.08, -0.48, 0.17, -0.82, 0.3, 0.14, 0.5, 0.19, -0.45, -0.06, 0.14, -0.29, -0.98, -0.44, -0.16, 0.84, -0.02, 0.88, 0.11, 0.38, -0.42, 0.14, -0.12, -0.26, -0.17, -0.5, 0.45, 0.21, -0.34, -0.23, -0.65, 0.18, -0.12, -0.07, -0.02, -0.16, 0.27, -0.14, -0.47, 0.64, 0.38, 0.1, -0.4, 0.21, -0.03, 0.33, -0.01, 0.43, -0.45, 0.34, 0.85, -0.51, 0.23, 0.24, -0.06, -0.31, 0.47, 0.45, 0.42, -0.15, 0.22, -0.13, 0.74, 0.18, 0.11, -0.4, 0.23, 0.23, -0.24, 0.38, 0.49, -0.03, 0.1, -0.1, 0.08, -0.25, -0.59, -0.43, -0.33, -0.51, 0.57, 0.44, 0.07, 0.21]
20,14084.68,[-1.0, 0.2, 0.4, -0.56, -0.12, -0.94, -0.1, 0.06, 0.83, -0.12, 0.25, 0.28, 0.24, -0.26, -0.11, -0.22, 0.08, 0.41, 0.17, -0.82, -0.65, -0.18, -0.3, 0.21, 0.37, -0.33, 0.05, 0.77, 0.24, -0.14, 0.31, -0.03, -0.1, -0.01, 0.53, 0.17, -0.08, 0.14, -0.12, -0.26, -0.17, -0.5, 0.45, 0.21, -0.34, 0.23, 0.09, 0.18, -0.12, -0.04, -0.02, -0.16, 0.27, -0.14, -0.47, 0.64, 0.38, 0.1, -0.4, 0.21, -0.03, 0.33, -0.01, 0.43, -0.45, 0.34, 0.45, -0.51, 0.23, 0.24, -0.06, -0.31, 0.03, 0.45, 0.42, -0.15, 0.22, -0.13, -0.25, 0.33, 0.11, -0.4, 0.23, 0.23, -0.24, 0.38, 0.49, -0.03, 0.1, -0.1, 0.08, -0.25, -0.19, -0.43, -0.33, -0.39, 0.07, 0.44, 0.07, -0.14]
30,11234.89,[0.8, 0.21, -0.16, -0.25, 0.25, -0.01, 0.21, 0.61, -0.93, -0.2, -0.97, -0.9, 0.24, 0.32, -0.5, 0.32, 0.63, -0.43, 0.02, -0.25, 0.23, 0.14, 0.5, 0.19, -0.19, 0.1, 0.15, -0.18, 0.24, -0.14, 0.31, -0.03, -0.1, -0.01, 0.11, 0.17, -0.08, 0.14, -0.12, -0.26, -0.17, -0.2, 0.36, 0.21, -0.34, 0.23, 0.09, 0.18, -0.12, -0.04, -0.02, -0.16, 0.27, 0.8, -0.47, 0.61, 0.38, 0.1, -0.4, 0.21, -0.03, 0.33, -0.01, 0.11, -0.45, 0.34, 0.18, -0.25, 0.23, 0.24, -0.06, -0.31, 0.03, -0.2, 0.15, -0.15, 0.22, -0.13, -0.06, -0.13, 0.11, -0.4, 0.23, 0.23, -0.24, 0.38, -0.01, -0.03, 0.1, -0.1, 0.08, -0.25, -0.19, -0.43, -0.33, -0.39, 0.07, 0.03, 0.07, -0.14]
40,9596.37,[0.97, 0.41, -0.62, 0.42, 0.45, -0.25, 0.38, -0.21, 0.55, 0.15, -0.62, 0.11, 0.43, 0.32, -0.11, -0.22, 0.08, -0.48, 0.17, -0.01, -0.65, 0.14, 0.5, 0.19, -0.19, 0.1, 0.15, -0.18, 0.24, -0.14, 0.31, -0.03, -0.1, -0.01, 0.11, 0.17, -0.08, 0.14, -0.12, -0.26, -0.17, -0.2, 0.36, 0.21, -0.34, 0.23, 0.09, 0.18, -0.12, -0.04, -0.02, -0.16, 0.27, 0.59, -0.47, 0.64, 0.38, 0.1, 0.06, 0.21, -0.03, 0.33, -0.01, 0.11, -0.45, 0.34, 0.41, -0.25, 0.23, 0.24, -0.06, 0.2, 0.03, -0.2, 0.15, -0.15, 0.22, -0.13, -0.06, -0.13, 0.11, 0.04, 0.23, 0.23, -0.24, 0.11, -0.01, -0.03, 0.1, 0.03, 0.08, -0.25, -0.19, -0.38, -0.33, -0.39, 0.07, 0.03, 0.07, -0.14]
50,8214.76,[-0.45, -0.49, 0.45, -0.2, 0.02, -0.1, 0.02, -0.73, 0.49, 0.23, 0.28, 0.1, 0.0, 0.01, -0.44, 0.32, 0.63, -0.43, 0.02, -0.25, 0.23, 0.14, 0.2, 0.21, -0.19, 0.1, 0.15, -0.18, -0.01, -0.14, 0.31, -0.03, -0.1, -0.01, 0.11, 0.17, -0.08, 0.14, -0.12, -0.04, -0.17, 0.05, 0.36, 0.21, -0.34, 0.23, 0.09, 0.18, -0.12, -0.04, -0.02, -0.16, 0.27, 0.59, -0.47, 0.64, 0.38, 0.1, 0.06, 0.21, -0.03, 0.26, -0.01, 0.11, 0.09, 0.34, 0.18, -0.25, 0.23, 0.24, -0.06, 0.2, 0.03, -0.2, 0.11, 0.06, 0.22, -0.13, -0.06, -0.13, 0.11, 0.04, 0.23, 0.23, -0.24, 0.11, -0.01, -0.03, 0.1, 0.03, 0.05, -0.25, -0.19, -0.38, -0.33, -0.29, 0.07, 0.03, 0.01, -0.14]
60,6912.2,[-0.05, 0.83, 0.52, 0.69, -0.6, -0.23, -0.41, 0.06, 0.03, -0.12, 0.25, 0.28, 0.24, -0.26, -0.11, -0.29, 0.08, 0.32, -0.22, -0.17, 0.3, 0.12, 0.2, 0.21, -0.19, 0.14, 0.07, 0.03, 0.24, -0.14, -0.09, -0.03, -0.1, -0.01, 0.11, 0.17, -0.08, 0.14, -0.12, -0.26, -0.17, -0.2, 0.36, 0.21, -0.34, 0.23, 0.09, 0.18, -0.12, -0.04, -0.02, -0.16, 0.27, 0.13, -0.43, 0.64, 0.38, 0.1, 0.06, 0.21, -0.03, -0.05, -0.01, 0.11, 0.09, 0.34, 0.18, -0.25, 0.23, 0.08, -0.06, -0.04, 0.03, 0.12, 0.11, 0.06, 0.22, -0.13, -0.06, -0.13, 0.11, 0.04, 0.23, -0.16, -0.16, 0.01, -0.01, -0.03, 0.1, 0.03, 0.05, -0.25, -0.19, -0.38, -0.33, -0.29, 0.07, 0.03, 0.01, -0.14]
70,5995.98,[0.44, 0.84, 0.61, -0.12, -0.08, -0.26, -0.41, 0.06, 0.49, -0.33, 0.28, 0.1, 0.0, 0.11, -0.11, -0.29, -0.1, 0.05, 0.56, -0.25, 0.23, 0.14, 0.33, 0.19, -0.19, 0.1, 0.07, 0.03, 0.24, -0.14, -0.09, -0.03, -0.1, -0.01, 0.11, 0.17, -0.08, -0.03, -0.12, -0.26, -0.17, -0.0, 0.0, 0.21, 0.19, 0.23, 0.09, 0.18, -0.12, -0.04, -0.02, -0.01, 0.27, 0.13, -0.03, 0.64, 0.38, 0.1, 0.06, 0.21, -0.03, -0.05, -0.01, 0.11, 0.09, 0.34, 0.18, 0.14, 0.23, 0.08, -0.06, -0.04, 0.03, 0.12, 0.11, 0.06, 0.1, -0.13, -0.06, -0.13, 0.11, 0.04, 0.05, -0.16, -0.16, 0.01, -0.01, -0.03, 0.1, 0.03, 0.05, 0.08, -0.19, -0.38, -0.33, -0.29, 0.07, 0.03, 0.01, -0.14]
80,4769.19,[-0.64, 0.2, 0.99, 0.45, -0.63, 0.01, -0.41, 0.06, 0.83, 0.15, -0.62, 0.11, -0.13, 0.11, -0.11, -0.07, -0.1, -0.23, -0.22, -0.17, 0.3, 0.14, 0.25, 0.19, -0.19, 0.1, 0.07, 0.03, 0.24, -0.14, -0.09, -0.03, -0.1, -0.02, 0.11, 0.07, -0.08, -0.03, -0.12, -0.25, -0.17, -0.2, -0.08, 0.01, 0.19, 0.23, 0.09, -0.14, -0.12, -0.04, -0.02, -0.01, 0.27, 0.13, -0.03, 0.05, 0.27, 0.1, 0.06, 0.2, -0.03, -0.05, -0.01, 0.11, 0.09, 0.15, 0.18, 0.14, 0.23, 0.08, -0.06, -0.04, 0.03, 0.12, 0.11, 0.06, 0.1, -0.13, -0.06, 0.01, 0.11, 0.04, 0.05, -0.16, -0.1, 0.01, -0.01, -0.03, 0.1, 0.03, 0.05, 0.08, -0.19, -0.38, -0.33, -0.29, 0.07, 0.03, 0.01, 0.05]
90,3842.9,[0.14, -0.47, 0.86, 0.83, -0.7, 0.32, 0.22, -0.46, 0.32, 0.21, 0.11, 0.1, 0.0, 0.11, -0.11, -0.29, -0.1, 0.05, -0.33, -0.17, 0.3, 0.12, 0.2, 0.19, -0.19, 0.1, 0.07, 0.03, 0.24, -0.14, -0.09, -0.03, -0.1, -0.01, 0.11, 0.07, -0.08, -0.03, -0.12, -0.25, -0.17, -0.2, -0.08, 0.01, 0.19, 0.23, 0.09, -0.14, -0.12, -0.04, -0.02, -0.01, 0.27, 0.13, -0.03, 0.05, 0.12, 0.1, 0.06, 0.03, -0.03, -0.05, -0.01, 0.11, 0.09, 0.15, 0.18, 0.14, 0.23, 0.08, -0.06, -0.04, 0.03, 0.12, 0.11, 0.06, 0.0, -0.13, -0.06, 0.01, -0.01, 0.04, 0.05, -0.16, -0.1, 0.01, -0.01, -0.03, 0.1, 0.03, 0.05, 0.08, -0.19, -0.15, -0.14, 0.23, 0.07, 0.03, 0.01, 0.05]
